Discharge_ID,Formula_dcg,Gravimetric_Capacity_(mAh/g),Average_Voltage_(V),Number_of_Elements_dcg,a_dcg,alpha_dcg,Spacegroup_cg,sum_NpUnfilled_dcg,sum_GSbandgap_dcg,sum_SpaceGroupNumber_dcg,avg_MeltingT_dcg,avg_Row_dcg,avg_NsUnfilled_dcg,avg_GSvolume_pa_dcg,dev_Column_dcg,dev_Row_dcg,dev_CovalentRadius_dcg,dev_Electronegativity_dcg,dev_NpValence_dcg,dev_NsUnfilled_dcg,dev_NpUnfilled_dcg,dev_GSbandgap_dcg,max_MeltingT_dcg,max_NdValence_dcg,max_NpUnfilled_dcg,max_NUnfilled_dcg,Predicted_Fermi_Energy_dcg,Predicted_Band_Gap_dcg,Predicted_Formation_Energy_Per_Atom_dcg,Predicted_Final_Energy_Per_Atom_dcg
21792,Na14Mn2O9,112.668242593727,2.47156943030172,3,6.601469,89.999279,1,18,0,3748,348.9352,2.72,0.56,20.4930735632,6.5856,0.5184,44.5248,1.120896,1.8432,0.4928,0.9216,0,1519,5,2,5,1.28739726543427,2.1300036907196,-1.52795839309692,-4.49629974365234
21867,Na2Mo15Se19,116.022638354004,4.70268335155173,3,9.756432,76.16574,15,38,15.181,4159,1487.99277777778,4.36111111111111,0.472222222222222,21.8421296296278,5.27777777777778,0.532407407407407,17.6512345679012,0.266527777777778,1.99382716049383,0.498456790123457,0.996913580246914,0.398266975308642,2896,10,2,6,3.4629430770874,2.67576813697815,-2.78731966018677,-8.47323036193848
21966,NaNiPO4,49.387496909256,4.56608707905173,4,4.977243,89.999889,58,11,1.625,504,376.481428571429,2.57142857142857,0.142857142857143,14.0790816326429,4.20408163265306,0.653061224489796,32.4897959183673,0.863673469387755,1.55102040816327,0.244897959183673,0.897959183673469,0.397959183673469,1728,8,3,3,2.74995541572571,3.33528733253479,-2.02702474594116,-6.71440887451172
21996,Na5NiO4,112.781932623585,2.72329024155173,3,5.884873,90,1,8,0,1418,380.155,2.7,0.5,19.29566666665,6.9,0.56,44.64,1.1264,1.92,0.5,0.96,0,1728,8,2,2,1.40940582752228,2.4577784538269,-1.32658350467682,-6.34366703033447
22135,NaCo2P3O10,191.579709075057,3.44389966405172,4,8.638218,82.340672,4,29,4.875,743,337.923125,2.5,0.0625,13.0308779761813,2.875,0.625,26.796875,0.7328125,1.171875,0.1171875,0.6796875,0.4951171875,1768,7,3,3,2.01028442382813,3.58041596412659,-2.32178807258606,-6.12661838531494
22614,NaMn(GeO3)2,83.7255419910723,4.85614010155173,4,5.688383,83.007788,15,20,0.766,968,464.147,2.7,0.1,14.03709195402,3.68,0.84,33.72,0.8712,1.44,0.18,0.8,0.12256,1519,10,4,5,0.240714311599731,3.25065732002258,-1.76268565654755,-6.19431734085083
23689,Na2CoH8(SO6)2,145.226496176897,4.99718452905173,5,8.367137,80.249241,14,28,67.228,2488,162.2456,1.92,0.4,11.299416666664,7.0336,0.5888,26.112,0.699648,1.9712,0.48,0.9856,3.3048832,1768,7,2,3,1.32363677024841,0.762364268302918,-1.55109107494354,-6.37400579452515
27569,NaFe5O8,186.209503705716,1.12759253155173,3,8.621922,90,1,16,0,1470,704.590714285714,2.78571428571429,0.0714285714285714,11.1238095238071,4.48979591836735,0.897959183673469,35.1020408163265,0.862040816326531,1.95918367346939,0.13265306122449,0.979591836734694,0,1811,6,2,4,1.6056694984436,1.74330222606659,-1.6969336271286,-5.29099082946777
28262,NaCoO2,114.59281025832,1.47306468155172,3,5.743437,30.476165,7,4,0,447,562.1175,2.75,0.25,14.424583333325,5.5,0.75,40,1.0175,2,0.375,1,0,1768,7,2,3,5.95214891433716,0.56589949131012,-3.27594685554504,-6.2355170249939
28649,NaMnO2,43.6564532828328,0.998536216551717,3,3.159348,75.756103,148,4,0,470,499.8675,2.75,0.25,14.48522988505,6,0.75,43.25,1.1,2,0.375,1,0,1519,5,2,5,6.14259147644043,1.9979522228241,-3.14193487167358,-6.62063646316528
